1719392237226,0,42.19900131225586
1719392237227,1,42.19900131225586
1719392237228,2,39.288726806640625
1719392237229,3,37.348541259765625
1719392237230,4,40.25881576538086
1719392237231,5,41.22890853881836
1719392237232,6,37.348541259765625
1719392237233,7,24.73734474182129
1719392237234,8,16.97661018371582
1719392237235,9,15.036425590515137
1719392237236,10,19.886886596679688
1719392237237,11,21.827070236206055
1719392237238,12,20.856977462768555
1719392237239,13,12.126150131225586
1719392237240,14,11.156058311462402
1719392237241,15,13.09624195098877
1719392237242,16,7.275690078735352
1719392237243,17,-3.395321846008301
1719392237244,18,-7.275690078735352
1719392237245,19,-3.395321846008301
1719392237246,20,2.425230026245117
1719392237247,21,13.09624195098877
1719392237248,22,6.30559778213501
1719392237250,0,-6.30559778213501
1719392237251,1,-3.395321846008301
1719392237252,2,-1.4551379680633545
1719392237253,3,2.425230026245117
1719392237254,4,3.395321846008301
1719392237255,5,9.215873718261719
1719392237256,6,14.066333770751953
1719392237257,7,15.036425590515137
1719392237258,8,16.00651741027832
1719392237259,9,9.215873718261719
1719392237260,10,2.425230026245117
1719392237261,11,10.185965538024902
1719392237262,12,10.185965538024902
1719392237263,13,6.30559778213501
1719392237264,14,6.30559778213501
1719392237265,15,8.245781898498535
1719392237266,16,2.425230026245117
1719392237267,17,-2.425230026245117
1719392237268,18,-3.395321846008301
1719392237269,19,2.425230026245117
1719392237270,20,4.365414142608643
1719392237271,21,1.4551379680633545
1719392237272,22,-5.335505962371826
1719392237273,0,-2.425230026245117
1719392237274,1,-1.4551379680633545
1719392237275,2,-4.365414142608643
1719392237276,3,-6.30559778213501
1719392237277,4,-4.365414142608643
1719392237278,5,1.4551379680633545
1719392237279,6,0.48504599928855896
1719392237280,7,0.48504599928855896
1719392237281,8,-9.215873718261719
1719392237282,9,-10.185965538024902
1719392237283,10,-4.365414142608643
1719392237284,11,-0.48504599928855896
1719392237285,12,-1.4551379680633545
1719392237286,13,7.275690078735352
1719392237287,14,6.30559778213501
1719392237288,15,3.395321846008301
1719392237289,16,-1.4551379680633545
1719392237290,17,0.48504599928855896
1719392237291,18,4.365414142608643
1719392237292,19,-0.48504599928855896
1719392237293,20,-7.275690078735352
1719392237294,21,-7.275690078735352
1719392237295,22,-12.126150131225586
1719392237296,0,-12.126150131225586
1719392237297,1,-4.365414142608643
1719392237298,2,-2.425230026245117
1719392237299,3,-4.365414142608643
1719392237300,4,-13.09624195098877
1719392237301,5,-14.066333770751953
1719392237302,6,-15.036425590515137
1719392237303,7,-19.886886596679688
1719392237304,8,-21.827070236206055
1719392237305,9,-22.797161102294922
1719392237306,10,-28.617713928222656
1719392237307,11,-29.587804794311523
1719392237308,12,-28.617713928222656
1719392237309,13,-25.70743751525879
1719392237310,14,-22.797161102294922
1719392237311,15,-24.73734474182129
1719392237312,16,-22.797161102294922
1719392237313,17,-29.587804794311523
1719392237314,18,-40.25881576538086
1719392237315,19,-46.079368591308594
1719392237316,20,-41.22890853881836
1719392237317,21,-45.109275817871094
1719392237318,22,-42.19900131225586
1719392237319,0,-46.079368591308594
1719392237320,1,-54.81019592285156
1719392237321,2,-60.6307487487793
1719392237322,3,-59.6606559753418
1719392237323,4,-51.89992141723633
1719392237324,5,-53.84010696411133
1719392237325,6,-49.95973587036133
1719392237326,7,-43.16909408569336
1719392237327,8,-38.318634033203125
1719392237328,9,-36.378448486328125
1719392237329,10,-36.378448486328125
1719392237330,11,-31.527990341186523
1719392237331,12,-29.587804794311523
1719392237332,13,-30.557897567749023
1719392237333,14,-32.49808120727539
1719392237334,15,-31.527990341186523
1719392237335,16,-31.527990341186523
1719392237336,17,-49.95973587036133
1719392237337,18,-51.89992141723633
1719392237338,19,-52.87001419067383
1719392237339,20,-61.6008415222168
1719392237340,21,-62.5709342956543
1719392237341,22,-54.81019592285156
1719392237342,0,-52.87001419067383
1719392237343,1,-42.19900131225586
1719392237344,2,-35.408355712890625
1719392237345,3,-25.70743751525879
1719392237346,4,-25.70743751525879
1719392237347,5,-30.557897567749023
1719392237348,6,-38.318634033203125
1719392237349,7,-39.288726806640625
1719392237350,8,-42.19900131225586
1719392237351,9,-38.318634033203125
1719392237352,10,-42.19900131225586
1719392237353,11,-36.378448486328125
1719392237354,12,-34.43826675415039
1719392237355,13,-42.19900131225586
1719392237356,14,-50.92982864379883
1719392237357,15,-51.89992141723633
1719392237358,16,-48.989646911621094
1719392237359,17,-42.19900131225586
1719392237360,18,-48.019554138183594
1719392237361,19,-47.049461364746094
1719392237362,20,-68.39148712158203
1719392237363,21,-81.00267791748047
1719392237364,22,-74.2120361328125
1719392237365,0,-65.48120880126953
1719392237366,1,-61.6008415222168
1719392237367,2,-56.75038146972656
1719392237368,3,-43.16909408569336
1719392237369,4,-44.13918685913086
1719392237370,5,-38.318634033203125
1719392237371,6,-46.079368591308594
1719392237372,7,-62.5709342956543
1719392237373,8,-64.51111602783203
1719392237374,9,-57.72047424316406
1719392237375,10,-49.95973587036133
1719392237376,11,-44.13918685913086
1719392237377,12,-40.25881576538086
1719392237378,13,-40.25881576538086
1719392237379,14,-37.348541259765625
1719392237380,15,-31.527990341186523
1719392237381,16,-34.43826675415039
1719392237382,17,-44.13918685913086
1719392237383,18,-48.019554138183594
1719392237384,19,-29.587804794311523
1719392237385,20,-29.587804794311523
1719392237386,21,-27.647621154785156
1719392237387,22,-21.827070236206055
1719392237388,0,-17.946701049804688
1719392237389,1,-16.97661018371582
1719392237390,2,-19.886886596679688
1719392237391,3,-21.827070236206055
1719392237392,4,-21.827070236206055
1719392237393,5,-9.215873718261719
1719392237394,6,-20.856977462768555
